distilbert-base-multilingual-cased,8.6554s,0.9131525958774049,0.913152595877405,0.9086206896551724
distilbert-base-multilingual-cased,8.6572s,0.9131525958774049,0.913152595877405,0.9086206896551724
Midsummra/CNMBert,13.6079s,0.898141134536515,0.8981411345365152,0.889367816091954
Midsummra/CNMBert,13.6095s,0.898141134536515,0.8981411345365152,0.889367816091954
xlm-roberta-base,13.4586s,0.9096391140966019,0.909639114096602,0.905
xlm-roberta-base,13.4810s,0.9096391140966019,0.909639114096602,0.905
uer/chinese_roberta_L-2_H-128,7.2254s,0.6121067769930081,0.6121067769930079,0.5473563218390805
uer/chinese_roberta_L-2_H-128,7.2302s,0.6121067769930081,0.6121067769930079,0.5473563218390805
alibaba-pai/pai-bert-tiny-zh,7.7054s,0.6841048456037694,0.6841048456037696,0.6105172413793103
alibaba-pai/pai-bert-tiny-zh,7.7075s,0.6841048456037694,0.6841048456037696,0.6105172413793103
google/mobilebert-uncased,13.3193s,0.8922469369911449,0.8922469369911449,0.8525862068965517
google/mobilebert-uncased,13.3225s,0.8820180931751065,0.8820180931751067,0.8525862068965517
hfl/minirbt-h288,9.5422s,0.8702678448600223,0.8702678448600223,0.834367816091954
hfl/minirbt-h288,9.5463s,0.8628452099072063,0.8628452099072061,0.834367816091954
hfl/rbt3,8.7768s,0.8975025818374208,0.8975025818374208,0.8823563218390804
hfl/rbt3,8.7818s,0.8950702717599056,0.8950702717599056,0.8823563218390804
hfl/rbtl3,9.2534s,0.9119277770848788,0.9119277770848788,0.9045402298850574
hfl/rbtl3,9.2542s,0.9111257629846364,0.9111257629846363,0.9045402298850574
bert-base-chinese: best_threshold: 0.4897959183673469, best_f1_macro: 0.8366540951583444, best_acc: 0.823735632183908
distilbert-base-multilingual-cased: best_threshold: 0.5510204081632653, best_f1_macro: 0.9139472920832176, best_acc: 0.911896551724138
Midsummra/CNMBert: best_threshold: 0.5102040816326531, best_f1_macro: 0.8988617105350565, best_acc: 0.8954597701149425
xlm-roberta-base: best_threshold: 0.5714285714285714, best_f1_macro: 0.9101608878849777, best_acc: 0.9070689655172414
uer/chinese_roberta_L-2_H-128: best_threshold: 0.26530612244897955, best_f1_macro: 0.7287316997173031, best_acc: 0.7056321839080459
alibaba-pai/pai-bert-tiny-zh: best_threshold: 0.3061224489795918, best_f1_macro: 0.7632627551744181, best_acc: 0.7383333333333333
google/mobilebert-uncased: best_threshold: 0.4081632653061224, best_f1_macro: 0.8922469369911449, best_acc: 0.8812068965517241
hfl/minirbt-h288: best_threshold: 0.42857142857142855, best_f1_macro: 0.8702678448600223, best_acc: 0.8602873563218391
hfl/rbt3: best_threshold: 0.4897959183673469, best_f1_macro: 0.8975025818374208, best_acc: 0.8928735632183908
hfl/rbtl3: best_threshold: 0.5510204081632653, best_f1_macro: 0.9119772765208676, best_acc: 0.9082183908045977
